#Name,Tele,BJD,vsini1,vsini1_errp,vsini1_errm,vsini1_95,vmac1,vmac1_errp,vmac1_errm,vmac1_95,BRV1,BRV1errp,BRV1errm,vsini2,vsini2_errp,vsini2_errm,vsini2_95,vmac2,vmac2_errp,vmac2_errm,vmac2_95,BRV2,BRV2errp,BRV2errm,f_ratio,f_ratio_err,separated,note
TOI450_2019-07-29_0_carmenes_temp_orders_res.ls.p,eso36,2458693.9184941878,2.45,0.0,0.19,2.45,0.0,0.0,0.0,0.0,25.847,0.163,0.163,2.26,0.11,0.11,2.44,0.0,0.0,0.0,0.0,23.01,0.151,0.151,0.969,2.876,False,N/A
TOI450_20190810_carmenes_temp_orders_res.ls,salt,2458706.652199008,3.72,0.01,0.01,3.75,0.0,0.0,0.0,0.0,45.436,0.051,0.051,3.76,0.03,0.03,3.81,0.0,0.0,0.0,0.0,2.567,0.124,0.124,1.006,0.01,True,N/A
TOI450_20190812_carmenes_temp_orders_res.ls,salt,2458708.6497893534,3.71,0.09,0.09,3.89,0.0,0.0,0.0,0.0,50.204,0.063,0.063,3.7,0.01,0.01,3.73,0.0,0.0,0.0,0.0,-2.19,0.11,0.11,1.033,0.02,True,RVs differ
TOI450_20190825_carmenes_temp_orders_res.ls,salt,2458721.6118872245,3.63,0.05,0.05,3.74,0.0,0.0,0.0,0.0,19.256,0.283,0.283,3.54,0.09,0.09,3.72,0.0,0.0,0.0,0.0,28.671,0.285,0.285,0.966,0.013,False,RVs differ
TOI450_20190907_carmenes_temp_orders_res.ls,salt,2458734.576121557,3.73,0.04,0.04,3.82,0.0,0.0,0.0,0.0,-14.549,0.179,0.179,3.73,0.07,0.07,3.87,0.0,0.0,0.0,0.0,62.195,0.196,0.196,0.968,0.003,True,N/A
TOI450_20190917_carmenes_temp_orders_res.ls,salt,2458744.551442237,3.67,0.05,0.05,3.77,0.0,0.0,0.0,0.0,-21.022,0.202,0.202,3.55,0.07,0.07,3.68,0.0,0.0,0.0,0.0,67.942,0.065,0.065,0.936,0.021,True,N/A
TOI450_20190925_carmenes_temp_orders_res.ls,salt,2458752.5281935255,3.71,0.02,0.02,3.76,0.0,0.0,0.0,0.0,43.737,0.126,0.126,3.72,0.06,0.06,3.84,0.0,0.0,0.0,0.0,4.111,0.049,0.049,1.008,0.008,True,N/A
TOI450_20190927_carmenes_temp_orders_res.ls,salt,2458754.527008964,3.74,0.02,0.02,3.79,0.0,0.0,0.0,0.0,-6.002,0.228,0.228,3.74,0.03,0.03,3.81,0.0,0.0,0.0,0.0,54.195,0.369,0.369,0.995,0.003,True,N/A
TOI450_20191003_carmenes_temp_orders_res.ls,salt,2458760.505987227,3.72,0.03,0.03,3.78,0.0,0.0,0.0,0.0,47.205,0.1,0.1,3.72,0.02,0.02,3.77,0.0,0.0,0.0,0.0,1.108,0.119,0.119,1.021,0.011,True,N/A
TOI450_20191007_carmenes_temp_orders_res.ls,salt,2458764.496709527,3.62,0.01,0.01,3.64,0.0,0.0,0.0,0.0,18.863,0.31,0.31,3.53,0.08,0.08,3.69,0.0,0.0,0.0,0.0,29.882,0.323,0.323,0.956,0.01,False,RVs differ
TOI450_20191010_carmenes_temp_orders_res.ls,salt,2458767.489172482,3.68,0.05,0.05,3.78,0.0,0.0,0.0,0.0,0.891,0.13,0.13,3.69,0.11,0.11,3.91,0.0,0.0,0.0,0.0,47.255,0.169,0.169,0.967,0.018,True,N/A
TOI450_20191011_carmenes_temp_orders_res.ls,salt,2458768.4941287036,3.65,0.0,0.0,3.66,0.0,0.0,0.0,0.0,19.391,0.16,0.16,3.47,0.02,0.02,3.5,0.0,0.0,0.0,0.0,28.825,0.16,0.16,0.928,0.008,False,RVs differ
TOI450_2019-11-21_0_carmenes_temp_orders_res.ls.p,eso36,2458808.7667331086,2.17,0.05,0.04,2.25,0.0,0.0,0.0,0.0,-19.791,0.023,0.023,2.23,0.05,0.04,2.3,0.0,0.0,0.0,0.0,68.463,0.033,0.033,0.976,0.078,True,N/A
TOI450_2019-11-26_0_carmenes_temp_orders_res.ls.p,eso36,2458813.754555747,2.29,0.05,0.05,2.38,0.0,0.0,0.0,0.0,45.438,0.036,0.036,2.25,0.06,0.06,2.36,0.0,0.0,0.0,0.0,3.199,0.042,0.042,1.011,0.057,True,RVs differ

#SALT Values
#Average values from separated epochs:
#f_ratio: 0.992+/-0.03
#vsini1: 3.711+/-0.024
#vsini2: 3.701+/-0.06
#vmac1: 0.0+/-0.0
#vmac2: 0.0+/-0.0

#HARPS Values
#Average values from separated epochs:
#f_ratio: 0.993+/-0.018
#vsini1: 2.227+/-0.059
#vsini2: 2.238+/-0.012
#vmac1: 0.0+/-0.0
#vmac2: 0.0+/-0.0
